Sample_ID,Island,Latitude_degrees_N,Longitude_degrees_E,Rock_name,Al2O3_percent,Cr_ppm,Rb_ppm
s_207-6 [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,PHONOLITE [15625],18.51,0.15,86.14
s_02AKA-3 [14053],HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE,20.1,-155.78,BASALT [14053],16.51,0.17,31.9
s_02AHU-8 [14053],HAWAIIAN ISLANDS / HAWAII / HUALALAI / POST-SHIELD STAGE,19.78,-155.83,TRACHYTE [14053],17.28,0.23,115.5
s_02AKA-2 [14053],HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE,20.12,-155.79,BASALT [14053],16.67,0.24,33.3
s_02AKA-1 [14053],HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE,20.04,-155.74,BASALT [14053],15.64,0.3,24.1
s_NER-37A [16914],CANARY ISLANDS / TENERIFE,28.4,-16.5,BASANITE [16914],17.74,0.31,62.03
s_LO-25 [16914],CANARY ISLANDS / TENERIFE,28.3,-16.6,TRACHYANDESITE [16914],19.15,0.38,29.97
s_02AKA-4 [14053],HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE,20.07,-155.76,ANDESITE [14053],17.84,0.44,75.9
s_205-2 [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,BASANITE [15625],17.13,0.46,36.31
s_M14ACIDWASHED [1199],AUSTRAL-COOK ISLANDS / MANGAIA,-21.93,-157.93,"BASALT, ALKALINE [1199]",17.74,0.5,38.7
s_E 206A [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,NOT GIVEN [15625],17.65,0.5,58.16
s_207-4 [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,PHONOLITE [15625],18.58,0.5,90.05
s_UH53 [16348] / s_UH53-TE35 [24718],MARQUESAS / UA HUKA / HANE / POST-SHIELD STAGE,-8.9,-139.56,PHONOLITE [16348],18.25,0.52,255.6
s_206-2 [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,PHONOLITE [15625],18.53,0.53,101.62
s_AZT-03-18 [12941] / s_AZT 03-18 [21396],AZORES / TERCEIRA,38.73,-27.28,"TRACHYANDESITE, BASALTIC [12941] / NOT GIVEN [21396]",15,0.59,39.2
s_206 CONT [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,PHONOLITE [15625],18.49,0.61,64.7
s_G2-D11 [16914],CANARY ISLANDS / TENERIFE,28.32,-16.38,BASANITE [16914],16.86,0.63,50.78
s_NER-61 [16914],CANARY ISLANDS / TENERIFE,28.4,-16.5,BASANITE [16914],16.85,0.64,52.59
s_E 206D [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,NOT GIVEN [15625],17.74,0.66,53.57
s_E 206B [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,NOT GIVEN [15625],17.68,0.7,47.98
s_207-5 [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,PHONOLITE [15625],18.5,0.73,97.71
s_02AMK-11 [14053],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE,19.94,-155.84,BASALT [14053],16.86,0.75,32.6
s_206-3 [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,PHONOLITE [15625],18.61,0.75,116.55
s_205-1 [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,BASANITE [15625],17.16,0.78,39.5
s_LC-7 [16914],CANARY ISLANDS / TENERIFE,28.3,-16.6,TRACHYTE [16914],20.44,0.79,81.08
s_E 204F [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,NOT GIVEN [15625],17.65,0.86,25.93
RMT11,Rimatara,-22.67,-152.75,,15.04,0.86,23.41
s_02AMK-8 [14053],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE,19.91,-155.34,BASALT [14053],17.08,0.87,33.3
RRT45,Rurutu,-22.67,-152.75,,14.52,0.87,35.77
s_AI-177 [829],ASCENSION / ASCENSION,-7.93,-14.37,RHYOLITE [829],12.76,0.9,161
s_NER-70A [16914],CANARY ISLANDS / TENERIFE,28.4,-16.5,BASANITE [16914],16.71,0.91,44.2
s_AZ05-R [19003],AZORES / SAO JORGE,38.55,-27.86,NOT GIVEN [19003],15.64,1,30
s_VE111 [1815],ICELAND / VESTMANNAEYJAR ISLANDS - HEIMAEY / ELDFELL,63.44,-20.28,"HAWAIITE [1815] / BASALT, ALKALINE [1033]",16.8,1,31.5
s_271 [1634],KERGUELEN / KERGUELEN ARCHIPELAGO,-48.55,68.5,TRACHYBASALT [1634],16.94,1,37.3
s_TUT-6D [452],SAMOAN ISLANDS / TUTUILA / PAGO / SHIELD STAGE,-14.3,-170.7,HAWAIITE [452] / BASALT [451],15.5,1,40
s_106 [481],ST. HELENA CHAIN / ST. HELENA / MAIN SHIELD VOLCANO (SOUTHWESTERN VOLCANO) / SHIELD STAGE,-15.95,-5.7,"BASALT, ALKALINE [481]",14.53,1,42
s_PIT-6 [19601],PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS,-25.07,-130.1,"BASALT, ALKALINE [19601]",15.96,1,42.5
s_P30 [756],PITCAIRN-GAMBIER CHAIN / PITCAIRN / ADAMSTOWN FORMATION / INTRA-CALDERA STAGE,-25.07,-130.1,"BASALT, ALKALINE [756]",15.69,1,44
s_RA-30 [452],AUSTRAL-COOK ISLANDS / RAPA,-27.58,-144.33,"TEPHRITE, SODALITE [452]",17.4,1,56
s_116543 [8459],CANARY ISLANDS / LA PALMA / CUMBRE VIEJA,28.57,-17.87,"PHONOLITE, TEPHRI [8459]",20.36,1,89.8
s_106459 [8504],CAPE VERDE ISLANDS / SAO ANTAO / INTERMEDIATE VOLCANICS (SAO ANTAO),17,-25,BASANITE [8504],20.84,1,124
s_R-38A [452],AUSTRAL-COOK ISLANDS / RAROTONGA,-21.21,-159.82,PHONOLITE [452],20.1,1,162
s_HK-25 [20654],HAWAIIAN ISLANDS / MAUI / HALEAKALA / REJUVENATED STAGE / HANA SERIES,20.73,-156.17,BASANITE [20654],17.59,1.01,52.4
s_206-5 [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,PHONOLITE [15625],18.58,1.03,79.9
s_SM0106 [10567],AZORES / SAO MIGUEL / SETE CIDADES / PRE-CALDERA STAGE,37.53,-25.47,TRACHYTE [10567] / TRACHYANDESITE [9385],17.64,1.07,132.83
s_205-3 [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,BASANITE [15625],17.14,1.18,29.89
s_VH176 [4825],ICELAND / ICELAND / SNAEFELLSJ÷KULL,64.81,-15.63,MUGEARITE [4825],14.6,1.3,34.1
RRT60,Rurutu,-22.42,-151.33,,14.84,1.36,27.21
s_SM0134 [10567],AZORES / SAO MIGUEL / SETE CIDADES / PRE-CALDERA STAGE,37.52,-25.52,"TRACHYANDESITE, BASALTIC [10567] / ANDESITE, BASALTIC [16704]",17.35,1.38,86.08
s_UP66 [8489],MARQUESAS / UA POU,-9.42,-140,BENMOREITE [8489],19.1,1.5,130
s_SM0128 [10567],AZORES / SAO MIGUEL / SETE CIDADES / PRE-CALDERA STAGE,37.5,-25.4,TRACHYBASALT [10567] / HAWAIITE [9925],15.31,1.61,54.72
s_AIT-36 [24409],AUSTRAL-COOK ISLANDS / AITUTAKI,-18.8,-159.8,"BASALT, THOLEIITIC [24409]",15.23,1.7,23.19
s_AI-96 [829],ASCENSION / ASCENSION,-7.93,-14.37,TRACHYTE [829],14.18,1.7,87
s_144 [847],KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT ROSS,-49.58,69.5,TRACHYANDESITE [847],19.45,1.8,114
s_02AMK-10 [14053],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE,19.78,-155.35,BASALT [14053],16.76,1.9,29.3
s_AI-120 [829],ASCENSION / ASCENSION,-7.93,-14.37,BASALT [829],16.25,1.9,75
s_RR16 [811],AUSTRAL-COOK ISLANDS / RURUTU / OLD TUBUAI-TREND LAVAS,-22.42,-151.33,BASALT [811],16.6,2,12.5
s_D650.0 [789],MARQUESAS / EIAO,-8,-140.67,HAWAIITE [789],16.35,2,19
s_D433.5 [789],MARQUESAS / EIAO,-8,-140.67,HAWAIITE [789],14.61,2,26
s_D512.5 [789],MARQUESAS / EIAO,-8,-140.67,HAWAIITE [789],14.89,2,27
s_D456.3 [789],MARQUESAS / EIAO,-8,-140.67,HAWAIITE [789],14.93,2,33
s_D533.0 [789],MARQUESAS / EIAO,-8,-140.67,MUGEARITE [789],15.4,2,33
s_IC-0107 [14961],ICELAND / ICELAND / HEKLA,64.02,-19.65,ANDESITE [14961],15.02,2,35.15
s_D561.3 [789],MARQUESAS / EIAO,-8,-140.67,MUGEARITE [789],15.5,2,40
s_P34 [756],PITCAIRN-GAMBIER CHAIN / PITCAIRN / CHRISTIANS CAVE FORMATION,-25.07,-130.1,"BASALT, ALKALINE [756]",15.3,2,42
T342,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA,-37.12,-12.28,ol basalt,16.26,2,61
s_AI-111 [829],ASCENSION / ASCENSION,-7.93,-14.37,TRACHYTE [829],16.81,2,63
T364,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA,-37.12,-12.28,trachybasalt,16.29,2,69
s_D577.0 [789],MARQUESAS / EIAO,-8,-140.67,TRACHYTE [789],17.77,2,71
T359,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA,-37.12,-12.28,trachybasalt,16.51,2,73
s_TLP 69-1 [19949],CANARY ISLANDS / LA PALMA,28.5,-18,TEPHRITE [19949],17.05,2,75
s_I469 [18177],ICELAND / ICELAND / ÷RAEFAJ÷KULL,63.89,-16.62,RHYOLITE [18177],13.28,2,78.2
s_MPC99-47 [11073],KERGUELEN / KERGUELEN ARCHIPELAGO / VAL GABBRO PLUTONIC SUITE,-49.73,70.07,NOT GIVEN [11073],18.15,2,79.7
s_116548 [8459],CANARY ISLANDS / LA PALMA / CUMBRE VIEJA,28.53,-17.82,"PHONOLITE, TEPHRI [8459]",20.07,2,101.6
s_TLP 19-2 [19949],CANARY ISLANDS / LA PALMA,28.5,-18,"PHONOLITE, TEPHRI [19949]",18.79,2,103
s_UP80 [8489],MARQUESAS / UA POU,-9.42,-140,"PHONOLITE, TEPHRI [8489]",19.9,2,140
s_107 [847],KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT ROSS,-49.58,69.5,TRACHYANDESITE [847],17.92,2,142
s_UP95 [8489],MARQUESAS / UA POU / LOWER UA POU PHONOLITES,-9.42,-140,PHONOLITE [8489],21.1,2,259
s_UP31 [8489],MARQUESAS / UA POU / LOWER UA POU PHONOLITES,-9.42,-140,PHONOLITE [8489],21,2,389
s_AI-109 [829],ASCENSION / ASCENSION,-7.93,-14.37,TRACHYTE [829],15.23,2.1,69
s_HK-19 [20654],HAWAIIAN ISLANDS / MAUI / HALEAKALA / REJUVENATED STAGE / HANA SERIES,20.71,-156.17,BASANITE [20654],16.49,2.17,42
s_VH49 [4825],ICELAND / ICELAND / SNAEFELLSJ÷KULL,64.81,-15.63,RHYOLITE [4825],13.52,2.2,109.8
s_515DS-1 [10567] / s_515 DS-1 [21396],AZORES / SAO MIGUEL / SETE CIDADES / POST-CALDERA STAGE,37.87,-26,TRACHYANDESITE [10567] / TRACHYTE [9385] / NOT GIVEN [21396],18.69,2.25,1090.07
s_HK-16 [20654],HAWAIIAN ISLANDS / MAUI / HALEAKALA / REJUVENATED STAGE / HANA SERIES,20.71,-156.21,BASANITE [20654],16.64,2.38,37.7
s_NER-12 [16914],CANARY ISLANDS / TENERIFE,28.4,-16.5,BASANITE [16914],16.52,2.39,33.01
s_ML-2 [49],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / SOUTH RIFT ZONE / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,19.83,-155.42,"BASALT, ALKALINE [49]",16.88,2.4,36
s_TDC84 [521],TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA,-37.05,-12.3,PHONOTEPHRITE [521],18.72,2.4,87
s_44 [847],KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT ROSS,-49.58,69.5,TRACHYTE [847],18.1,2.5,138.6
s_UP17 [8489],MARQUESAS / UA POU,-9.42,-140,"PHONOLITE, TEPHRI [8489]",20.2,2.5,162
s_NER-37W [16914],CANARY ISLANDS / TENERIFE,28.4,-16.5,BASANITE [16914],16.9,2.58,58.11
MRT006,Marotiri,,,,17.09,2.72,41.66
s_TLP 51-2 [19993],CANARY ISLANDS / LA PALMA / CUMBRE VIEJA / AD 1585 ERUPTION,28.56,-19,PHONOLITE [19993],20.64,2.86,138
s_VH222 [4825],ICELAND / ICELAND / SNAEFELLSJ÷KULL,64.81,-15.63,MUGEARITE [4825],15.36,2.9,38.1
s_NER-70 [16914],CANARY ISLANDS / TENERIFE,28.4,-16.5,PHONOTEPHRITE [16914],18.77,2.9,57.75
s_ST.PAUL [1326],AMSTERDAM-ST. PAUL / ST. PAUL ISLAND,-38.75,77.5,BASALT [1326],20.46,3,8.3
s_OR136 [4594] / s_OR-136 [14498],ICELAND / ICELAND / ÷RAEFAJ÷KULL,64.03,-16.68,MUGEARITE [4594] / NOT GIVEN [14498],13.9,3,34
s_273 [1634],KERGUELEN / KERGUELEN ARCHIPELAGO,-48.55,68.5,TRACHYBASALT [1634],16.94,3,35
s_RR27 [811] / s_RR 27 [9925],AUSTRAL-COOK ISLANDS / RURUTU / YOUNG ATIU-TREND LAVAS,-22.42,-151.33,HAWAIITE [811],14.3,3,41.5
s_110021 [8504],CAPE VERDE ISLANDS / SAO ANTAO / YOUNG VOLCANICS (SAO ANTAO),17,-25,NEPHELINITE [8504],21.27,3,55
s_RP19 [1230],MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE,-21.23,55.6,MUGEARITE [1230],15.81,3,58.6
s_P14 [756],PITCAIRN-GAMBIER CHAIN / PITCAIRN / CHRISTIANS CAVE FORMATION,-25.07,-130.1,"BASALT, ALKALINE [756]",16.36,3,84
T499,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA,-37.12,-12.28,ol basalt,16.81,3,99
s_LVLK127A [1008],KERGUELEN / KERGUELEN ARCHIPELAGO,-48.55,68.5,"TRACHYTE, QUARTZ [1008]",16.36,3,102
s_111701 [8504],CAPE VERDE ISLANDS / SAO ANTAO / YOUNG VOLCANICS (SAO ANTAO),17,-25,NEPHELINITE [8504],19.64,3,104
s_4850-01/490- [6576],HAWAIIAN ISLANDS / HAWAII / HUALALAI / POST-SHIELD STAGE / PUU ANAHULU FLOW,19.85,-155.84,TRACHYTE [6576],17.53,3,130
s_NK178 [7516],MARQUESAS / NUKU HIVA / TAIOHAE / INNER VOLCANO,-8.93,-140,TRACHYTE [7516],18.2,3,188
s_NK190 [7516],MARQUESAS / NUKU HIVA / TAIOHAE / INNER VOLCANO,-8.93,-140,TRACHYTE [7516],18.1,3,213
s_UP8 [8489],MARQUESAS / UA POU / LOWER UA POU PHONOLITES,-9.42,-140,PHONOLITE [8489],19.25,3,235
s_FL-09-09 [16341],AZORES / FLORES / UPPER VOLCANIC COMPLEX,39.45,-31.13,BASALT [16341] / NOT GIVEN [19965],17.83,3.03,28.06
s_AI-79 [829],ASCENSION / ASCENSION,-7.93,-14.37,TRACHYTE [829],15.69,3.1,79
s_AI-42 [829],ASCENSION / ASCENSION,-7.93,-14.37,RHYOLITE [829] / BASALT [831],13.26,3.1,188
s_5433 [1176] / s_5433-TE45 [24718],AUSTRAL-COOK ISLANDS / TUBUAI / TAITAA,-23.39,-149.47,"BASALT, ALKALINE [1176] / BASALT [15259]",15.16,3.1,28.8
s_AI-91 [829],ASCENSION / ASCENSION,-7.93,-14.37,TRACHYTE [829],15.6,3.2,109
s_AZF-03-38 [16224],AZORES / FAIAL,38.85,-28.73,"BASALT, ALKALINE [16224] / NOT GIVEN [21396]",16.9,3.23,38.21
s_TLP 50-1 [19993],CANARY ISLANDS / LA PALMA / CUMBRE VIEJA / AD 1585 ERUPTION,28.56,-19,PHONOLITE [19993],20.58,3.27,136
s_IB1904 [14919],ICELAND / ICELAND / ASKJA,65.03,-16.8,ANDESITE [14919],13.1,3.3,29
s_MP-1 [49],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / SOUTH RIFT ZONE / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,19.83,-155.42,"BASALT, ALKALINE [49] / HAWAIITE [157]",17.37,3.3,42.9
s_ALIA-DR107-09 [14912],SAMOAN ISLANDS / MANUA ISLANDS / OFU / SHIELD STAGE,-14.34,-169.72,NOT GIVEN [14912],14.02,3.4,66.59
s_NER-66 [16914],CANARY ISLANDS / TENERIFE,28.4,-16.5,"PHONOLITE, TEPHRI [16914]",19.02,3.43,97.39
s_I1416 [12148],ICELAND / ICELAND,64.63,-14.91,NOT GIVEN [12148],15.18,3.51,31.4
s_MH-4 [49],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / SOUTH RIFT ZONE / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,19.83,-155.42,"BASALT, ALKALINE [49] / HAWAIITE [157]",17.1,3.6,45.7
s_VH190 [4825],ICELAND / ICELAND / SNAEFELLSJ÷KULL,64.81,-15.63,BENMOREITE [4825],15.46,3.9,47.8
s_IA1803 [14919],ICELAND / ICELAND / ASKJA,65.05,-16.72,RHYOLITE [14919],12.8,3.9,55.8
s_LVLK83 [1008],KERGUELEN / KERGUELEN ARCHIPELAGO,-48.55,68.5,PHONOLITE [1008],20.24,3.9,165
s_LVLK86 [1008],KERGUELEN / KERGUELEN ARCHIPELAGO,-48.55,68.5,PHONOLITE [1008],22.05,3.9,197
s_AG99-192 [6897],AMSTERDAM-ST. PAUL / ST. PAUL ISLAND,-38.75,77.5,BASALT [6897],13.71,4,20.1
s_21-14 [1182],MARQUESAS / UA POU / DUMONT D^URVILLE,-9.42,-140,"BASALT, ALKALINE, OLIVINE [1182]",15.3,4,21
s_U43 F [6967] / s_U43F [15259] / s_U 43 F [9925],SAMOAN ISLANDS / UPOLU / FAGALOA SERIES,-13.89,-171.56,BASALT [6967],13.69,4,25
s_OR98 [4594],ICELAND / ICELAND / ÷RAEFAJ÷KULL,64.03,-16.68,BENMOREITE [4594],13.73,4,32
s_729 [1634],KERGUELEN / KERGUELEN ARCHIPELAGO,-48.55,68.5,"BASALT, ALKALINE [1634]",17.6,4,37
s_AZ05-Z [19003],AZORES / SAO JORGE,38.55,-27.86,NOT GIVEN [19003],17,4,57
s_57 [847],KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT ROSS,-49.58,69.5,"TRACHYANDESITE, BASALTIC [847]",19.05,4,64.3
s_LVLK131 [1008],KERGUELEN / GABY ISLAND,-48.55,68.5,"TRACHYTE, QUARTZ [1008] / TRACHYTE [5176]",15.67,4,91
s_111759 [8504],CAPE VERDE ISLANDS / SAO ANTAO / YOUNG VOLCANICS (SAO ANTAO),17,-25,NEPHELINITE [8504],19,4,116
s_LVLK127 [1008],KERGUELEN / KERGUELEN ARCHIPELAGO,-48.55,68.5,TRACHYTE [1008],16.95,4,123
s_#2 [6576],HAWAIIAN ISLANDS / HAWAII / HUALALAI / POST-SHIELD STAGE,19.74,-155.98,TRACHYTE [6576],16.99,4,136
s_4358-0 [6576],HAWAIIAN ISLANDS / HAWAII / HUALALAI / POST-SHIELD STAGE,19.72,-155.98,TRACHYTE [6576],17.12,4,137
s_HR-5 [6576],HAWAIIAN ISLANDS / HAWAII / HUALALAI / POST-SHIELD STAGE,19.76,-155.98,TRACHYTE [6576],16.34,4,138
s_NK52 [7516],MARQUESAS / NUKU HIVA / TAIOHAE / INNER VOLCANO,-8.93,-140,TRACHYTE [7516],18.1,4,155
s_106455 [8504],CAPE VERDE ISLANDS / SAO ANTAO / YOUNG VOLCANICS (SAO ANTAO),17,-25,NEPHELINITE [8504],22.35,4,193
s_ST84 [1238],CAMEROON LINE / SAO TOME,0.42,6.58,TRACHYTE [1238],18.63,4,200
s_ST10 [1238],CAMEROON LINE / SAO TOME,0.42,6.58,PHONOLITE [1238],21.7,4,223
s_P16 [1238],CAMEROON LINE / PRINCIPE,1.62,7.45,TRACHYPHONOLITE [1238],21.47,4,315
s_T-88 [982],ICELAND / ICELAND / TORFAJ÷KULL / EASTERN ICELAND RIFT ZONE,63.9,-18.97,RHYOLITE [982],14.72,4.4,119.6
s_LVLK81 [1008],KERGUELEN / KERGUELEN ARCHIPELAGO,-48.55,68.5,PHONOLITE [1008],22.1,4.4,192
s_02AMK-1 [14053],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE,19.76,-155.58,BASALT [14053],16.59,4.5,29.8
s_SM0809 [23491],AZORES / SAO MIGUEL,37.76,-25.37,"BASALT, OLIVINE [23491]",17.88,4.92,105.59
s_RR03 [811],AUSTRAL-COOK ISLANDS / RURUTU / OLD TUBUAI-TREND LAVAS,-22.42,-151.33,HAWAIITE [811],16.5,5,15.7
s_AZ05-C [19003],AZORES / TERCEIRA,38.73,-27.05,NOT GIVEN [19003],15.27,5,29
s_AZ05-AG [19003],AZORES / SAO JORGE,38.59,-27.94,NOT GIVEN [19003],16.45,5,33
s_GM92-34 [973],KERGUELEN / FOCH / MOUNT BUREAU,-48.55,68.5,"BASALT, TRANSITIONAL [973]",13.01,5,36.2
s_RU-4 [452],AUSTRAL-COOK ISLANDS / RURUTU,-22.42,-151.33,"TEPHRITE, NEPHELINE-OLIVINE [452]",15.9,5,37
s_93-510 [10516],KERGUELEN / MOUNT CAPITOLE,-48.55,68.5,BASALT [10516],13.41,5,38.1
s_RP28 [1230],MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE,-21.23,55.6,MUGEARITE [1230],14.8,5,39.5
s_B1 [920],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,"BASALT, ALKALINE [920] / HAWAIITE [934]",17.14,5,42
s_P22 [756],PITCAIRN-GAMBIER CHAIN / PITCAIRN / ADAMSTOWN FORMATION / INTRA-CALDERA STAGE,-25.07,-130.1,"BASALT, ALKALINE [756]",16.4,5,43
s_AZ05-AR [19003],AZORES / FAIAL,38.55,-28.63,NOT GIVEN [19003],17,5,45
s_T21 [6967],SAMOAN ISLANDS / MANUA ISLANDS / TAU ISLAND,-14.22,-169.48,BASALT [6967],17.66,5,49.1
s_316 [13086],CAPE VERDE ISLANDS / SANTIAGO / FLAMENGOS  FORMATION,15.14,-23.69,BASANITE [13086],15.83,5,52
s_ST96 [1238],CAMEROON LINE / SAO TOME,0.42,6.58,"HAWAIITE [1238] / BASALT, TRANSITIONAL [1197]",17.43,5,62
T20,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA,-37.12,-12.28,trachybasalt,16.35,5,68
s_OR135 [4594] / s_OR-135 [14498],ICELAND / ICELAND / ÷RAEFAJ÷KULL,64.03,-16.68,TRACHYTE [4594] / NOT GIVEN [14498],15.19,5,75
s_OR154 [4594],ICELAND / ICELAND / ÷RAEFAJ÷KULL,64.03,-16.68,RHYOLITE [4594],13.91,5,98
s_MPC99-53A/A [11073],KERGUELEN / KERGUELEN ARCHIPELAGO / VAL GABBRO PLUTONIC SUITE,-49.72,70.07,NOT GIVEN [11073],16.8,5,101
s_ST110 [1238],CAMEROON LINE / SAO TOME,0.42,6.58,"TEPHRITE, PHONOLITIC [1238]",18.83,5,114
s_ST57 [1238],CAMEROON LINE / SAO TOME,0.42,6.58,"TRACHYTE, QUARTZ [1238]",18.05,5,120
s_PWW-1 [6576],HAWAIIAN ISLANDS / HAWAII / HUALALAI / POST-SHIELD STAGE / WAAWAA TRACHYTE MEMBER,19.78,-155.83,TRACHYTE [6576],17.26,5,127
s_LVLK121 [1008],KERGUELEN / KERGUELEN ARCHIPELAGO,-48.55,68.5,PHONOLITE [1008],22.44,5,225
s_LVLK105 [1008],KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT BERLIOZ,-48.55,68.5,PHONOLITE [1008],19.19,5,439
s_NER-29 [16914],CANARY ISLANDS / TENERIFE,28.4,-16.5,BASANITE [16914],15.12,5.09,19.58
s_M17ACIDWASHED [1199],AUSTRAL-COOK ISLANDS / MANGAIA,-21.93,-157.93,"BASALT, ALKALINE [1199]",16.09,5.1,26.4
s_MK-6 [49],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / SOUTH RIFT ZONE / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,19.83,-155.42,"BASALT, ALKALINE [49] / HAWAIITE [157]",17.82,5.6,40.7
s_IC-0215 [14961],ICELAND / ICELAND / HEKLA,64.02,-19.65,ANDESITE [14961],15.08,5.89,30.38
s_ME-6 [49],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / SOUTH RIFT ZONE / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,19.83,-155.42,"BASALT, ALKALINE [49] / HAWAIITE [157]",17.15,5.9,34.3
s_GM92-131 [973],KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT RABOUILLERE,-48.55,68.5,"BASALT, TRANSITIONAL [973]",13.25,6,26.8
s_P31 [756],PITCAIRN-GAMBIER CHAIN / PITCAIRN / ADAMSTOWN FORMATION / INTRA-CALDERA STAGE,-25.07,-130.1,"BASALT, ALKALINE [756]",15.66,6,34
s_WD-320 [14135] / s_WD320 [14165],HAWAIIAN ISLANDS / OAHU / WAIANAE / SHIELD STAGE / KAMEILE^UNU MEMBER,21.47,-158.12,"ICELANDITE [14135] / BASALT, THOLEIITIC [14165]",14.41,6,37
s_P28 [756],PITCAIRN-GAMBIER CHAIN / PITCAIRN / ADAMSTOWN FORMATION / INTRA-CALDERA STAGE,-25.07,-130.1,"BASALT, ALKALINE [756]",16.07,6,40
s_P4 [756],PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS,-25.07,-130.1,"BASALT, ALKALINE [756]",15.26,6,46
s_GM92-40 [973],KERGUELEN / FOCH / MOUNT BUREAU,-48.55,68.5,"BASALT, TRANSITIONAL [973]",13.14,6,49.2
s_ZM150 [726],CAPE VERDE ISLANDS / SANTIAGO,14.9,-24.3,TEPHRITE [726],14.86,6,61
s_54 [847],KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT ROSS,-49.58,69.5,"TRACHYANDESITE, BASALTIC [847]",19.47,6,63.5
s_OR93 [4594] / s_OR-93 [14498],ICELAND / ICELAND / ÷RAEFAJ÷KULL,64.03,-16.68,RHYOLITE [4594] / NOT GIVEN [14498],13.6,6,82
s_LVLK93 [1008],KERGUELEN / KERGUELEN ARCHIPELAGO,-48.55,68.5,"PHONOLITE, TEPHRI [1008]",18.02,6,91
s_111767 [8504],CAPE VERDE ISLANDS / SAO ANTAO / INTERMEDIATE VOLCANICS (SAO ANTAO),17,-25,BASANITE [8504],18.55,6,106
s_88WA-1 [6576],HAWAIIAN ISLANDS / HAWAII / HUALALAI / POST-SHIELD STAGE / WAAWAA TRACHYTE MEMBER,19.78,-155.83,TRACHYTE [6576],17.75,6,125
s_PWW-5 [6576],HAWAIIAN ISLANDS / HAWAII / HUALALAI / POST-SHIELD STAGE / WAAWAA TRACHYTE MEMBER,19.78,-155.83,TRACHYTE [6576],17.28,6,131
s_I2204 [12148],ICELAND / ICELAND,65.17,-14.1,NOT GIVEN [12148],13.27,6.03,32.5
